transaction_id,date,amount,category,description,merchant,account_type
1,2025-01-15,1250.00,salary,Monthly salary payment,ABC Company,checking
2,2025-01-16,-45.67,food,Grocery shopping,SuperMart,checking
3,2025-01-16,-12.50,coffee,Morning coffee,Coffee Bean,checking
4,2025-01-17,-89.99,utilities,Electric bill,Power Corp,checking
5,2025-01-18,-25.00,transportation,Gas station,Shell,checking
6,2025-01-19,-150.00,shopping,Clothing purchase,Fashion Store,credit
7,2025-01-20,500.00,freelance,Consulting work,XYZ Client,checking
8,2025-01-21,-78.45,food,Restaurant dinner,Italian Bistro,credit
9,2025-01-22,-35.20,health,Pharmacy,MedPlus,checking
10,2025-01-23,-200.00,rent,Monthly rent,Property Manager,checking
11,2025-01-24,-65.30,entertainment,Movie tickets,Cinema Plus,credit
12,2025-01-25,75.00,refund,Return purchase,Fashion Store,credit
13,2025-01-26,-120.00,insurance,Car insurance,InsureCorp,checking
14,2025-01-27,-45.80,food,Grocery shopping,Fresh Market,checking
15,2025-01-28,-18.99,subscriptions,Netflix,Netflix,checking
16,2025-01-29,-95.50,fuel,Gas station,BP,checking
17,2025-01-30,1250.00,salary,Monthly salary payment,ABC Company,checking
18,2025-02-01,-300.00,shopping,Electronics,Tech Store,credit
19,2025-02-02,-52.75,food,Takeout dinner,Chinese Palace,checking
20,2025-02-03,-28.00,coffee,Coffee and pastry,Local Cafe,checking
