line_item__resource_id,resource_tags__user__accounting,finance_team,finance_org,account_environment_type,resource_tags__user__owner,resource_tags__user__name,line_item__usage_account_id,line_item__usage_type,identity__line_item_id,identity__time_interval,bill__billing_entity,bill__bill_type,line_item__availability_zone,line_item__line_item_type,line_item__normalized_usage_amount,line_item__product_code,line_item__tax_type,line_item__unblended_cost,line_item__usage_amount,line_item__usage_end_date,line_item__usage_start_date,reservation__number_of_reservations,reservation__subscription_id,reservation__modification_status,reservation__reservation_arn,reservation__effective_cost,savings_plan__purchase_term,savings_plan__savings_plan_arn,savings_plan__savings_plan_effective_cost,product__vcpu,product__region,product__current_generation,batch,dt,resource_tags__user__accounting_environment,reservation__total_reserved_normalized_units,reservation__total_reserved_units,savings_plan__offering_type,reservation__unused_normalized_unit_quantity,product__tenancy,line_item__blended_cost,resource_tags__user__app_name,line_item__operation,pricing__unit,pricing__public_on_demand_rate,reservation__amortized_upfront_fee_for_billing_period,reservation__end_time,savings_plan__start_time,product__operating_system,resource_tags__user__accounting_product,reservation__unused_quantity,reservation__start_time,reservation__unused_amortized_upfront_fee_for_billing_period,product__product_family,reservation__upfront_value,resource_tags__user__project,product__instance_type,product__license_model,product__usagetype,savings_plan__used_commitment,reservation__amortized_upfront_cost_for_usage,savings_plan__total_commitment_to_date,savings_plan__savings_plan_rate,savings_plan__end_time,line_item__line_item_description,product__product_name,account_name,resource_tags__aws__created_by,resource_tags__user__eks_cluster,resource_tags__aws__eks__cluster_name,resource_tags__user__riot__cost_allocation__product,resource_tags__user__riot__deployment__application,resource_tags__user__riot__deployment__environment,resource_tags__user__riot__deployment__location,resource_tags__user__cluster_id,resource_tags__user__sql_endpoint_id,resource_tags__user__component,resource_tags__user__run_name,resource_tags__aws__autoscaling__group_name,resource_tags__json,resource_tags__user__aml_legacy,resource_tags__user__aml_modernized,resource_tags__user__app,resource_tags__user__application,resource_tags__user__cluster_name,resource_tags__user__contact_email,resource_tags__user__env,resource_tags__user__environment,resource_tags__user__rfc190_scope,resource_tags__user__service,resource_tags__user__stack,riot__cost__usage_total,riot__discount__credit_total,riot__discount__refund_total,riot__discount__tax_total,riot__discount__bundled_total,riot__discount__edp_total,riot__discount__ppa_total,riot__discount__net_total,riot__discount__credit_pct,riot__discount__refund_pct,riot__discount__tax_pct,riot__discount__bundled_pct,riot__discount__edp_pct,riot__discount__ppa_pct,riot__discount__net_pct,riot__discount__sp_pct,riot__discount__ri_pct,riot__discount__credit,riot__discount__refund,riot__discount__tax,riot__discount__bundled,riot__discount__edp,riot__discount__ppa,riot__discount__net,riot__discount__sp,riot__discount__ri,riot__cost__market,riot__cost__effective_pre_edp,riot__on_demand_cost,riot__cost__accrual,cost_explorer__service,riot__source_query,riot__excl_from_cost_explorer_accrual,MBR_Tag_Raw,team,scope,riot__mbr_customer,Finance_Tab,year_month
arn:aws:ecs:us-west-2:715953757005:task/stacklet-rg-policy-execution-ec2-20250404233146151500000001_Batch_a85d921e-2a48-324f-9ff7-c7d88bfa8b47/2e7d4ca9e729451390ec04e262a38ff2,central.rpg.ip.cit.ccoe,unassigned,infrastructure operations variable,null,cit-ccoe@riotgames.com,null,715953757005,USW2-ECS-EC2-vCPU-Hours,wjm4ibhct4wmp74x5jzrsxo74ymxsrktyxfi6pmt5lb7eq5c3tsa,2025-05-03T00:00:00Z/2025-05-04T00:00:00Z,AWS,Anniversary,null,Usage,null,AmazonECS,null,0.0000000000,0.0280555556,2025-05-03T07:00:00Z,2025-05-03T06:00:00Z,null,6835431558,null,null,null,null,null,null,null,us-west-2,null,1,2025-05-03,null,null,null,null,null,null,0.0000000000,null,ECSTask-EC2,vCPU-Hours,0.0000000000,null,null,null,null,null,null,null,null,Compute Metering,null,null,null,null,USW2-ECS-EC2-vCPU-Hours,null,null,null,null,null,Amazon ECS - EC2 Launch Type - vCPU hours  - US West (Oregon),Amazon Elastic Container Service,riot-stacklet,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,null,null,null,null,0.0,0.0,AmazonECS,cur_with_discounts,false,IO,,,IO,OnDemand_Data,2025-05
arn:aws:ecs:us-west-2:715953757005:task/stacklet-rg-policy-execution-ec2-20250404233146151500000001_Batch_a85d921e-2a48-324f-9ff7-c7d88bfa8b47/8078b6cfcfb34f40ab190c7334ea2b86,central.rpg.ip.cit.ccoe,unassigned,infrastructure operations variable,null,cit-ccoe@riotgames.com,null,715953757005,USW2-ECS-EC2-vCPU-Hours,3mjotrpjwlvs754pgt54s5cradz2wlyasfqr6o6tzpxrrgbmjjcq,2025-05-03T00:00:00Z/2025-05-04T00:00:00Z,AWS,Anniversary,null,Usage,null,AmazonECS,null,0.0000000000,0.2811111111,2025-05-03T02:00:00Z,2025-05-03T01:00:00Z,null,6835431558,null,null,null,null,null,null,null,us-west-2,null,1,2025-05-03,null,null,null,null,null,null,0.0000000000,null,ECSTask-EC2,vCPU-Hours,0.0000000000,null,null,null,null,null,null,null,null,Compute Metering,null,null,null,null,USW2-ECS-EC2-vCPU-Hours,null,null,null,null,null,Amazon ECS - EC2 Launch Type - vCPU hours  - US West (Oregon),Amazon Elastic Container Service,riot-stacklet,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,null,null,null,null,0.0,0.0,AmazonECS,cur_with_discounts,false,IO,,,IO,OnDemand_Data,2025-05
arn:aws:ecs:us-west-2:715953757005:task/stacklet-rg-policy-execution-ec2-20250404233146151500000001_Batch_a85d921e-2a48-324f-9ff7-c7d88bfa8b47/76b30f8421bb466aa7d006e96b910a3d,central.rpg.ip.cit.ccoe,unassigned,infrastructure operations variable,null,cit-ccoe@riotgames.com,null,715953757005,USW2-ECS-EC2-vCPU-Hours,csxkopnhi3ifbwg3uenjn43kysnnegx65exhp5nxofhffxpb7ezq,2025-05-03T00:00:00Z/2025-05-04T00:00:00Z,AWS,Anniversary,null,Usage,null,AmazonECS,null,0.0000000000,0.2066666667,2025-05-03T14:00:00Z,2025-05-03T13:00:00Z,null,6835431558,null,null,null,null,null,null,null,us-west-2,null,1,2025-05-03,null,null,null,null,null,null,0.0000000000,null,ECSTask-EC2,vCPU-Hours,0.0000000000,null,null,null,null,null,null,null,null,Compute Metering,null,null,null,null,USW2-ECS-EC2-vCPU-Hours,null,null,null,null,null,Amazon ECS - EC2 Launch Type - vCPU hours  - US West (Oregon),Amazon Elastic Container Service,riot-stacklet,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,null,null,null,null,0.0,0.0,AmazonECS,cur_with_discounts,false,IO,,,IO,OnDemand_Data,2025-05
arn:aws:ecs:us-west-2:715953757005:task/stacklet-rg-policy-execution-ec2-20250404233146151500000001_Batch_a85d921e-2a48-324f-9ff7-c7d88bfa8b47/e595802dbbbc47be9cbe29e98aab5496,central.rpg.ip.cit.ccoe,unassigned,infrastructure operations variable,null,cit-ccoe@riotgames.com,null,715953757005,USW2-ECS-EC2-vCPU-Hours,fd3wox7mj4mibvaqscjynnnuxtfatogikmmgxpmioqvcwmoijeha,2025-05-03T00:00:00Z/2025-05-04T00:00:00Z,AWS,Anniversary,null,Usage,null,AmazonECS,null,0.0000000000,0.1763888889,2025-05-03T14:00:00Z,2025-05-03T13:00:00Z,null,6835431558,null,null,null,null,null,null,null,us-west-2,null,1,2025-05-03,null,null,null,null,null,null,0.0000000000,null,ECSTask-EC2,vCPU-Hours,0.0000000000,null,null,null,null,null,null,null,null,Compute Metering,null,null,null,null,USW2-ECS-EC2-vCPU-Hours,null,null,null,null,null,Amazon ECS - EC2 Launch Type - vCPU hours  - US West (Oregon),Amazon Elastic Container Service,riot-stacklet,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,null,null,null,null,0.0,0.0,AmazonECS,cur_with_discounts,false,IO,,,IO,OnDemand_Data,2025-05
i-05440a4f6eeb9a9b2,unknown,unassigned,infrastructure operations variable,null,null,null,691481982643,APN2-LGKNX-DataXfer-In:dc.3,zlwagqpk5n2ewnjrp4ffn4rh5k6tuzqpyijnnirwdpb5d2jdgzpq,2025-05-03T00:00:00Z/2025-05-04T00:00:00Z,AWS,Anniversary,null,Usage,null,AWSDirectConnect,null,0.0000000000,135.3673424947,2025-05-04T00:00:00Z,2025-05-03T02:00:00Z,null,6189662838,null,null,null,null,null,null,null,ap-northeast-2,null,1,2025-05-03,null,null,null,null,null,null,0.0000000000,null,RunInstances,GB,0.0000000000,null,null,null,null,null,null,null,null,Data Transfer,null,null,null,null,APN2-LGKNX-DataXfer-In:dc.3,null,null,null,null,null,$0.0000 per GB - AWS Direct Connect to AWS Private Cloud data transfer Inbound per GB Asia Pacific (Seoul),AWS Direct Connect,rc3-lol-prod,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,null,null,null,null,0.0,0.0,AWSDirectConnect,cur_with_discounts,false,League of Legends + TFT,,,League of Legends + TFT,OnDemand_Data,2025-05
arn:aws:ecs:us-west-2:715953757005:task/stacklet-rg-policy-execution-ec2-20250404233146151500000001_Batch_a85d921e-2a48-324f-9ff7-c7d88bfa8b47/7757f050157f425c9d9559d79e3585af,central.rpg.ip.cit.ccoe,unassigned,infrastructure operations variable,null,cit-ccoe@riotgames.com,null,715953757005,USW2-ECS-EC2-vCPU-Hours,jyy7zwnv5ydxlrjbpfew4ri33xzxksfdwlprl7ciq2x55oazilaq,2025-05-03T00:00:00Z/2025-05-04T00:00:00Z,AWS,Anniversary,null,Usage,null,AmazonECS,null,0.0000000000,0.0150000000,2025-05-03T11:00:00Z,2025-05-03T10:00:00Z,null,6835431558,null,null,null,null,null,null,null,us-west-2,null,1,2025-05-03,null,null,null,null,null,null,0.0000000000,null,ECSTask-EC2,vCPU-Hours,0.0000000000,null,null,null,null,null,null,null,null,Compute Metering,null,null,null,null,USW2-ECS-EC2-vCPU-Hours,null,null,null,null,null,Amazon ECS - EC2 Launch Type - vCPU hours  - US West (Oregon),Amazon Elastic Container Service,riot-stacklet,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,null,null,null,null,0.0,0.0,AmazonECS,cur_with_discounts,false,IO,,,IO,OnDemand_Data,2025-05
arn:aws:ecs:us-west-2:715953757005:task/stacklet-rg-policy-execution-ec2-20250404233146151500000001_Batch_a85d921e-2a48-324f-9ff7-c7d88bfa8b47/d7e6ee04745b478caacf34650919de54,central.rpg.ip.cit.ccoe,unassigned,infrastructure operations variable,null,cit-ccoe@riotgames.com,null,715953757005,USW2-ECS-EC2-vCPU-Hours,aq5u2em2rfllw3dzvhzhdtg4n4goy3xz3g7f7egpl2yu4soldj7a,2025-05-03T00:00:00Z/2025-05-04T00:00:00Z,AWS,Anniversary,null,Usage,null,AmazonECS,null,0.0000000000,1.5238888889,2025-05-03T07:00:00Z,2025-05-03T05:00:00Z,null,6835431558,null,null,null,null,null,null,null,us-west-2,null,1,2025-05-03,null,null,null,null,null,null,0.0000000000,null,ECSTask-EC2,vCPU-Hours,0.0000000000,null,null,null,null,null,null,null,null,Compute Metering,null,null,null,null,USW2-ECS-EC2-vCPU-Hours,null,null,null,null,null,Amazon ECS - EC2 Launch Type - vCPU hours  - US West (Oregon),Amazon Elastic Container Service,riot-stacklet,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,null,null,null,null,0.0,0.0,AmazonECS,cur_with_discounts,false,IO,,,IO,OnDemand_Data,2025-05
arn:aws:ecs:us-west-2:715953757005:task/stacklet-rg-policy-execution-ec2-20250404233146151500000001_Batch_a85d921e-2a48-324f-9ff7-c7d88bfa8b47/29239af3b4124da286017ebac98be0f2,central.rpg.ip.cit.ccoe,unassigned,infrastructure operations variable,null,cit-ccoe@riotgames.com,null,715953757005,USW2-ECS-EC2-vCPU-Hours,qxasbsiivswzr6cp47mclkza6uen7xezqeuj2vhlb2bs4ydaiuhq,2025-05-03T00:00:00Z/2025-05-04T00:00:00Z,AWS,Anniversary,null,Usage,null,AmazonECS,null,0.0000000000,0.3241666667,2025-05-03T02:00:00Z,2025-05-03T01:00:00Z,null,6835431558,null,null,null,null,null,null,null,us-west-2,null,1,2025-05-03,null,null,null,null,null,null,0.0000000000,null,ECSTask-EC2,vCPU-Hours,0.0000000000,null,null,null,null,null,null,null,null,Compute Metering,null,null,null,null,USW2-ECS-EC2-vCPU-Hours,null,null,null,null,null,Amazon ECS - EC2 Launch Type - vCPU hours  - US West (Oregon),Amazon Elastic Container Service,riot-stacklet,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,null,null,null,null,0.0,0.0,AmazonECS,cur_with_discounts,false,IO,,,IO,OnDemand_Data,2025-05
arn:aws:ecs:us-west-2:715953757005:task/stacklet-rg-policy-execution-ec2-20250404233146151500000001_Batch_a85d921e-2a48-324f-9ff7-c7d88bfa8b47/93da2b37a42f44bcb289ebb8dea417b1,central.rpg.ip.cit.ccoe,unassigned,infrastructure operations variable,null,cit-ccoe@riotgames.com,null,715953757005,USW2-ECS-EC2-vCPU-Hours,2jp5y6uvxps3rqshigbk3w3ej5yjmodtudo5xuzgixdaphl36bhq,2025-05-03T00:00:00Z/2025-05-04T00:00:00Z,AWS,Anniversary,null,Usage,null,AmazonECS,null,0.0000000000,1.6272222223,2025-05-03T07:00:00Z,2025-05-03T05:00:00Z,null,6835431558,null,null,null,null,null,null,null,us-west-2,null,1,2025-05-03,null,null,null,null,null,null,0.0000000000,null,ECSTask-EC2,vCPU-Hours,0.0000000000,null,null,null,null,null,null,null,null,Compute Metering,null,null,null,null,USW2-ECS-EC2-vCPU-Hours,null,null,null,null,null,Amazon ECS - EC2 Launch Type - vCPU hours  - US West (Oregon),Amazon Elastic Container Service,riot-stacklet,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,null,null,null,null,0.0,0.0,AmazonECS,cur_with_discounts,false,IO,,,IO,OnDemand_Data,2025-05
arn:aws:ecs:us-west-2:715953757005:task/stacklet-rg-policy-execution-ec2-20250404233146151500000001_Batch_a85d921e-2a48-324f-9ff7-c7d88bfa8b47/a4ee6b1f0567491482ad30ce9feb5bae,central.rpg.ip.cit.ccoe,unassigned,infrastructure operations variable,null,cit-ccoe@riotgames.com,null,715953757005,USW2-ECS-EC2-vCPU-Hours,mhvpu426g3zijdoq6vgyxtulqhliaxwc3ene5csmrqhkaw342rha,2025-05-03T00:00:00Z/2025-05-04T00:00:00Z,AWS,Anniversary,null,Usage,null,AmazonECS,null,0.0000000000,0.7797222222,2025-05-03T03:00:00Z,2025-05-03T01:00:00Z,null,6835431558,null,null,null,null,null,null,null,us-west-2,null,1,2025-05-03,null,null,null,null,null,null,0.0000000000,null,ECSTask-EC2,vCPU-Hours,0.0000000000,null,null,null,null,null,null,null,null,Compute Metering,null,null,null,null,USW2-ECS-EC2-vCPU-Hours,null,null,null,null,null,Amazon ECS - EC2 Launch Type - vCPU hours  - US West (Oregon),Amazon Elastic Container Service,riot-stacklet,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,null,null,null,null,0.0,0.0,AmazonECS,cur_with_discounts,false,IO,,,IO,OnDemand_Data,2025-05
